data point ID	label	original text
1	9	First of all , through cooperation , children can learn about interpersonal skills which are significant in the future life of all students . What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others . During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred . All of these skills help them to get on well with other people and will benefit them for the whole life .
2	9	On the other hand , the significance of competition is that how to become more excellence to gain the victory . Hence it is always said that competition makes the society more effective . However , when we consider about the question that how to win the game , we always find that we need the cooperation . The greater our goal is , the more competition we need . Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care . The winner is the athlete but the success belongs to the whole team . Therefore without the cooperation , there would be no victory of competition .
3	5	Firstly , maintaining one 課ｪ s cultural identity is a key important rule to help individuals emerge in the new multicultural environments . Take Australia for example , immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues . Many Australians come this day to enjoy the shows , learn about the cultures and admire the diverse values . These feedbacks , in turn , help raise one 課ｪ s pride of their cultures and help people understand each other more . Thus this makes it clear that sustaining the cultural values of immigrants is paramount essential .
4	4	Secondly , it is crucial to keep one 課ｪ s identity for they need a connection back to their country as well as teach their children their value of origin . For instance , children immigrated to a new country will face social troubles in school with new friends . In this new environment , parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home . Fail to create this familiarity makes them felt isolated , in the extreme can lead to social disorder like autism . Hence , it is clear that keeping the cultural traditions in the destination countries is tremendous important .
5	5	Firstly , international tourism promotes many aspects of the destination country 課ｪ s economy in order to serve various demands of tourists . Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores . These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard . Therefore tourism has clearly improved lives in the tourist country .
6	5	Secondly , through tourism industry , many cultural values have been preserved and natural environments have been protected . For instance , in Vietnam , many cultural costumes and natural scenes , namely 課� Trong Dong 課ｪ drum performance and 課� Ha Long 課ｪ bay , are being encouraged to preserve and funded by the tourism ministry . Without this support and profit from tourism , many traditional cultures would disappear due to its low income works . Thus , tourism has survived many non-tangible cultural values and beauty scenes .
7	5	Firstly , it is an undeniable fact that tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations . Take Thailand for example , in the Vietnam War , many American soldiers came to Thailand for a break and involved in sexual and drug activities , these huge demands caused many local businesses opened and expanded , even illegally involved in under-age prostitutes to maximize their profits . This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism . Therefore this proves that international tourism can create negative impacts on the destination countries .
8	5	Secondly , there are clear evidences that tourism increasingly create harms to the natural habitats of the destination appeals . As the Australia ' s Great Barrier Reef has shown , the billion visitors per annum has generated immense destruction to this nature wonder , namely breaking the corals caused by walking or throwing boat 課ｪ s anchors , dropping fuel and other sorts of pollutions . For this reason , many marine lives have been endangered , in the extremes part of the reef become uninhabitable for these marine species . Thus , it is apparent that tourism has threatened the nature environments .
9	9	First , studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures . Compared to the peers studying in the home country , it will be more likely for the one who is living overseas to be successful in adapting himself / herself into new environments and situations in life .
10	2	Second , living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet . One who is living overseas will of course struggle with loneliness , living away from family and friends but those difficulties will turn into valuable experiences in the following steps of life . Moreover , the one will learn living without depending on anyone else .
11	7	Also , employers are mostly looking for people who have international and language skills . Becoming successful in this study will give the student an edge in job market . Therefore , one who has studied and lived overseas will become more eligible for the job than his / her peers .
12	9	First of all , students who study outside their countries can get a lot of experience living in a foreign country . Living in a new country requires a great amount of flexibility and adaptability in one ' s character . For example , students might face many challenges in the host country . Therefore , they should be able to deal with the obstacles that they may encounter . Overcoming problems teaches the students how to be more mature and self-independence .
13	9	One other important factor is the new academic experience that the students can obtain at the institution where they are pursuing their studies . For example , they will get exposed to a different educational system . They will meet new professors and new classmates which makes the academic experience different from that in their home country .
