id	label	text
375	5.0	There are several reasons why saving regional languages could be seen as a waste of money . Firstly , we need to consider that if the government expands the use scope of that languages , it can be really expensive because educational programmes will need to be given so as to keep young people learning and using them . For example , some certain areas in the Southern Vietnam have been trying to help their secondary school students who are originally from khmer people speak their language beside Vietnamese , so the local government has recently struggled with their costly investments on language teachers , facilities and appropriate materials . Secondly , it is obvious that in many aspects such as communication , trade , cooperation as well as transaction , it will be absolutely easier for the whole society to work together in one language only .
71	4.0	Besides , it is obvious that publicizing brand image or a particular product of mass media could boost sales for companies . In a larger sense , it could simulate household spending and therefore promote the economic development of the whole country . A recent study shows that after launching an advertising campaign , the sales revenue would increase by 40% , which is the very fact to verify its positive influences on economic .
193	4.0	The use of public transportation make us live more sociable . When we drive a private car , we are alone or only our family members that we already know and lost the opportunity to make friends with others or to see that we are a part of this society . When using public transportation , we have a chance to meet more people and more chances to discovery new aspects of life .
143	3.0	Admittedly , on the other hands , there might be some dissidents proclaiming that doing something new is necessary for people to success because they can become different from others , which is also a widely accepted idea for success . However , according to my limited understanding , I just doubt the credibility of that saying owing to its imprudence . Try something new can indeed make people become special , while it does not mean successful .
142	4.0	On the other hand , some people maintain that the increase in life expectancy puts a high pressure on the economic system because more pension have to spend for Medicare instead of investing in other sectors of the economic system . Although it is real in some aspects , I believe that the capital that spend on taking care the elderly is contributed by these people during their working time , so they are worth to have good care . They have given their effort to the society so that young people , the governments have a responsibility to improve the Medicare system .
167	5.0	Second , in a globalized world that we live computers made communications faster , visual and cheaper . With the use of email our messages can be delivered to any person in any part of the world in few minutes . In addition , it is convenient because you do not need to mile to the post office , but just click the mouse of your computer from the convenience of your arm chair in order to reach your friends , family members in any part of the world . Internet facilities such as msn , skype made visual communication possible . For example , via skype people not just communicate with their family members and friends , but also make interviews for employment , enrolment into universities . In result , communication has become cheaper , faster and visual .
185	5.0	Firstly , due to the limitation of technology renewable resources are relatively expensive . Researches in renewable energy cost a huge amount of money which developing countries cannot afford . On the other hand , fossil fuels are abundant and inexpensive in many areas . For example , it is estimated that China has the largest deposit of coal in the world and the government does not want to invest too much money on new forms of energy , say expensive solar batteries and wind farms . Thus the plan of renewable resources of energy may face challenges in that not every country can afford the reforming .
62	1.0	Unfortunately , some male chauvinists think that women are incapable in particular fields , like maths , mechanical engineering , defense etc . This kind of gender biased approach is detrimental for the development of the society . Time and again , women have proved their mettle in every field . Women like Margaret Thatcher , Indira Gandhi , Mari Curie etc . , are symbols of women ' s intelligence and skills .
381	3.0	First of all , we need to consider that police armed with guns or any other kinds of legal weapons just attempts to protect not only civilians but also himself . As a result , criminals todays are very sophisticated so they spend a large amount of money to acquire modern weapons to cope with the police and serve their own nefarious needs . Thus , citizens in that society can be shot by both police and offenders accidentally . Moreover , while on duty , not only are private citizens affected but facilities such as cars , houses , streets are likely to be destroyed by guns . Therefore , a society that its police force carries guns will be definitely seen as a highly violent one .
285	4.0	Lastly , learning in classroom , student could have healthier life because in school can provide exercise class which train student to move their body . Classroom have specialist trainer to teach students to it right way . If student do it by themselves , they might be hurt themselves . This make students have healthier life which online class cannot provide .
197	5.0	On the other hand , growing of cheap flights really have negative impact on environment . Apparently , more flights could mean bigger and busier airport that may be grown the air pollution for people who live and work close to it . However , the biggest concern is the effect on global warming . Burning plane fuel can releases carbon dioxide into environment that cause the Earth to heat up . In fact , while many efforts are being made to reduce CO2 emissions from cars and factories , nothing is being done to reins the airlines .
104	5.0	First and foremost , the Internet is an adequate source of academic information , which will potentially fulfill the needs of university pupils . Nowadays , not only are lectures available online , it is also applicable to find reference e-books as well as multi-aspect documents on the cyberspace . As such , the Internet has grown to become the largest virtual library ever . Moreover , with the use of the Internet , distance and time seem to be no more a hindrance . College students can save their time browsing for necessary information through the web instead of spending hours wandering in bookstores or libraries . Last but not least , the Internet offers a more effective and practical method of studying . While virtual flowcharts and animations may simplify complicated scientific processes , Google and Wikipedia are always accessible for detailed responses to every query .
249	4.0	Moreover , sometimes programs on TV are full of violence and sex which are harmful to children . Children are not mature enough to make a judgment of what is good or bad , therefore they are likely to imitate the behaviors on TV out of their curiosity . Recently , more and more children smoke because they imitate actors ' behaviors on TV or movies . What ' s even worse , according to some statistics , there are more and more children have violent tendency , and the reports attribute this to TV programs and movies . It is obvious that there are many programs on TV or movies that are harmful to children in metal and physical health . How can anyone expect children could do well at school if they have those abnormal behaviors ?
241	5.0	Moreover , in the urban areas there are also more citizens what means , that the culture diversity is huge . Meeting and knowing new people ' s tradition is an unforgettable experience , which could influence on one ' s previous habits .
205	7.0	Finally , psychology knows two types of motivation . There is intrinsic motivation which comes from your own mindset . And there is extrinsic motivation which comes from the praise and laud of other people . Intrinsic motivation is known to be much more desirable because it leads to better learning and well-being . However , in order to gain intrinsic motivation students need to become aware of their strengths and aims . By giving students the freedom to choose about class attendance they might rather be thinking about why they decided to study and learn to motivate themselves . These are crucial skills for the duration of their study and their whole life time .
281	4.0	First , as you can see that after great economic recession , many people in many countries were unemployed . Then , many people did not have money . When people did not have money , They had to rob other people . There were increasing in criminal rate in many cities . Consequently , quality of life were dropping and this make people unhappy . So that , government should invest to create more jobs . When people have jobs , they did not have to steal money . Therefore , criminal rate were drop . Thus , people have a good quality life .
317	5.0	The best example of it is how babies learn about basics survival habits during their childhood . Every day comes with new challenges for them like walking , eating , etc . , but those challenges of their initial life teach them important survival lessons which help them for whole life . For example , when they tried to learn walking , they stumble and hurt themselves many times . But they slowly tune their technique and learned to walk .
183	4.0	First of all , since people watch television too much , they can be isolated from others . Children , for example , pay more attention on movies , music show provided by television and do not want to do anything else such as going to school or practicing exercise with friends will be taken apart by others . Gradually , their friends leave them behind either activities or studying .
280	5.0	First of all , when students finished their high schools , they are confused about subjects that they are going to choose to study in universities . This is because they interested in many subjects and they want to try them all . For example , pupil who want to study science are also like to learn music . Therefore , requiring students to study in many subjects is good for them .
188	2.0	Having children in the daily exercise routine from an early age will teach them the important value of having physical activity in their every day routine . Children are bombarded with lectures about nutrition and physical activity ; however , they will be more beneficed if that knowledge can be put in practice . Moreover , they can stick with the routine and make the daily physical activities a good habit on their whole life .
301	5.0	Firstly , committing to our goal helps creating personal worth . For example , I realized the true potential of my body and mind as I decided to train myself hard . Even if I were not to win this medal , I acknowledged the great amount of my endeavor as I could keep my tired legs running .
218	5.0	Second , childhood is the period where people go to school and learn . Therefore , school memories are one of the best memories in a person ' s life . There you learn , to find your first love , to make new long-lasting friendships and of-course you will have a lot of fun . For example , my father ' s best moments in his life are in his school years . Moreover , he is still in-touch with some of his classmates and sometimes they get together and share their childhood memories .
31	4.0	Secondly , an increase in the number of automobiles causes terrible traffic congestion . Once we get into the traffic jam , it forces us to waste our time for a while . What is worse , traffic congestion irritates drivers and as a result , it leads to an increase of traffic accidents . Thus , the methods to reduce the number of automobiles and to control car ownership and use should be immediately planned and implemented .
166	5.0	What ' s more , cities have better medical facilities than in the countryside . This can at least assure me that if I feel bad , city can provide a high quality help .
116	5.0	The main reason why I believe artists should be funded is because art helps to improve the quality of our lives as well as attracting tourists . For example , monuments that represent each city do not only illustrate the city ' s history and culture , but also make the city more beautiful and an attractive place for tourists . In fact , some countries depend on tourism as their main source of revenue , thus , the governments should help arts because their work crafts are very necessary to boost the tourist industry .
290	5.0	Second , I think that a large company can give better salaries than a smaller one . The fact that a company is a large one , this means that it ' s having a considerable success . In other words , this means that the company can give more salaries to its employees . For instance , common sense would tell us that a famous and international known company won ' t give the same salary as a small local company .
192	9.0	When you have just few close friends , on one hand you develop a more intimate relationship with them and you feel you can trust them more , but on the other hand they often will give you viewpoints not so different from yours , adding less to your experience .
349	3.0	Many people believe that students only need to study academic subjects like mathematics , physics because these subject are necessary for students ' future . This is understandable when labor market now has high competition ; students have to meet requirements regard of qualification . In addition , the unemployment rate is always high , so their parents want children to study these subjects which can help students have a job .
231	5.0	Some people thinks that if a child grows up in a big city they will be all day at home at the computer or at the video-game , but this is not true if you live in a neighborhood with other people about your age as I did . My friends and I used to play soccer , bike , climb trees and do a lot of other stuff every day . We did play video-games , but that wasn ' t our main activity . In a big city there are more kinds of people and more things to do .
54	4.0	On the one hand , technology indeed simplifies people ' s life all the time . Obviously , people who watch exhibitions on TV or internet at home , save the time and money on the road , which is increasingly significant particularly to people in modern society . However , in accordance with recent research , experts suggest the lifestyle of individuals in modern society is unhealthy because they lack of physical exercise and face-to-face communication .
