id,label,text
2,5,"Firstly , maintaining one Ûª s cultural identity is a key important rule to help individuals emerge in the new multicultural environments . Take Australia for example , immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues . Many Australians come this day to enjoy the shows , learn about the cultures and admire the diverse values . These feedbacks , in turn , help raise one Ûª s pride of their cultures and help people understand each other more . Thus this makes it clear that sustaining the cultural values of immigrants is paramount essential ."
2,4,"Secondly , it is crucial to keep one Ûª s identity for they need a connection back to their country as well as teach their children their value of origin . For instance , children immigrated to a new country will face social troubles in school with new friends . In this new environment , parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home . Fail to create this familiarity makes them felt isolated , in the extreme can lead to social disorder like autism . Hence , it is clear that keeping the cultural traditions in the destination countries is tremendous important ."
3,5,"Secondly , through tourism industry , many cultural values have been preserved and natural environments have been protected . For instance , in Vietnam , many cultural costumes and natural scenes , namely Û÷ Trong Dong Ûª drum performance and Û÷ Ha Long Ûª bay , are being encouraged to preserve and funded by the tourism ministry . Without this support and profit from tourism , many traditional cultures would disappear due to its low income works . Thus , tourism has survived many non-tangible cultural values and beauty scenes ."
4,5,"Firstly , it is an undeniable fact that tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations . Take Thailand for example , in the Vietnam War , many American soldiers came to Thailand for a break and involved in sexual and drug activities , these huge demands caused many local businesses opened and expanded , even illegally involved in under-age prostitutes to maximize their profits . This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism . Therefore this proves that international tourism can create negative impacts on the destination countries ."
5,4,"Also , employers are mostly looking for people who have international and language skills . Becoming successful in this study will give the student an edge in job market . Therefore , one who has studied and lived overseas will become more eligible for the job than his / her peers ."
6,9,"One other important factor is the new academic experience that the students can obtain at the institution where they are pursuing their studies . For example , they will get exposed to a different educational system . They will meet new professors and new classmates which makes the academic experience different from that in their home country ."
7,4,"First of all , to obtain information , using the internet is quicker and more convenient than reading newspapers . Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime . As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages . Hence , the print media has failed to keep its important role in the provision of information ."
7,9,"Another point is that , from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one . It is clear to recognize that the internet service is being provided at a low cost or even free in many countries . The question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet ? The answer , perhaps , is that hardly would rational people do so . For this reason , the number of people reading newspapers may continue falling sharply , possibly leading to the close-downs of many in the coming time ."
8,5,"That ' s not enough , for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance . The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community . Some may argue that universities can support themselve well by donation or invention , but this argument is invalid . Researches into humanities and art still need large amount of money , what ' s more , government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide ."
10,4,"In addition , the policy would play a pivotal part in relieving traffic jam . It is quiet clear that traffic congestion is a serious problem in many big cities . The main reason for this issue is that there are a great number of vehicles flowing on roads . In order to tackle the problem , governments have to turn people ' attention on public vehicles to reduce cars and motorbikes . There is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion ."
11,4,"Besides , when we practice outdoors and indoors sports , many aspects are getting clearer . For example , when a person goes jogging everyday , eventually he can understand his own body through direct observation . Alike , the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically . Furthermore , almost all natural science discoveries were made by direct observation , which is a part of physical education ."
