ID	Label	Text
20		On the other hand , I believe that governments should restrict the use of products that cause air pollution for both individuals and companies . Governments also should use an amount of money from their budgets to clean up the air , instead of putting all the responsibility to companies and private individuals .
169		To begin with , it is vital that professors should assist students to acquire knowledge . The professors Ûª duty is to nurture students , and prepare excellent courses . If professors spend a lot of time on research , he will cut the time on preparing courses is reduced , which may decrease the quality of classes . The reason why people enter a university is that they want to learn cutting-edged technologies . In this way , professors should provide well-preparation courses to convey the state-of-art knowledge for college and university students . Therefore , professors should pay more attention on how to teach students rather than conduct research .
318		Capitalism enfranchised people ' s right to own properties , and consequently , their rights to use them . Driving cars during the rush hours might is bound to polluting cities ' s environment , but laws protect drivers to do so , and accordingly , charging them extra fee might seems to be out of the jurisdiction . From another point of view , traffic jam is a natural phenomenon that nobody is able to shun or ban ; so it is out of drivers ' control . Why drivers should pay a fine only for driving their own cars in a particular time ? Wars are notorious , but you can ' t blame the soldiers who are justing fight for their countries .
341		Some people who hold different viewpoints may advocate that protecting traditions consume too much financial budget compared with the incoming it takes . In spite of the fact this kind of business bring limited contribution to government finance , it should be emphasized that the expense is trivial compared with the potential value of traditions . Therefore the government authorities and education institutes should work closely together to promote the traditional skills and ways of life , so as to make people to realize the value of them .
306		Second , technology also makes teaching simpler . In the past , teachers have to write what they want to convey to students on the chalkboard , resulting in a great waste of time and the fatigue of teachers . With the advent of iPads in e-learning , paper books become unnecessary , so does the blackboards , it is because all the knowledge and information are stored in the iPads , with a single click , and they would appear right before your eyes at once .
122		Secondly , the new high school will be a place for new connections between the student of different communities and districts of the city . After classes students and not only the students will get together in building of high school , participate in different competitions . For instance during the football match the students of different high schools will come and after the competition they will keep in touch . This will increase the social connections of the students . The only disadvantage is the noisiness of the competitions . The people living in the neighborhood will be a bit perturbed , but I think this isn ' t a important reason for ceasing the competitions .
30		Some parents might not have enough money to pay for their children university fees . In the other hand , I don ' t think it is also fair for the government as the government has been paying a lot of money for their students ' primary and secondary education . It is better for them to use the money to pay for the other students ' education so that all people in their country could receive the same education .
244		"To begin with , television shows make people forget what is really important . One who has favorite programs tends to be obessed with them when they are on air . Thus , they cannot make appointment or go out with their family or friends at that time since they think the programs are so crucial to their lives . One of my friends , for example , once cancelled an appointment to play basketball with in order to watch the favorite television show "" Infinete Challenges "" . This is not only about basketball , but also about our friendship , which depends on how often we meet and have a chance to talk to each other . That is , watching television alone at home , my friend lost the opportunity to increase cohesion between us . "
391		However , we may perceive this issue from different viewpoints . Mobile phones , such as smart phones , has made our communication easy and convenience . The reason is that , as most of the telecommunication companies provide us with access to the internet via our phones , people are able to enjoy sending instant messages and making international calls free of charge . Thus , mobile phones have shortened the distance of communication .
205		Secondly , some students might learn better at home on their own , for instance , by reading the textbook . This problem occurs especially if the lecturer is lethargic . By letting students choose not to attend class you give them the opportunity to escape bad teaching . Thus they are able to save precious study time and dive into the course syllabus independently .
49		Nevertheless , opponents of modern communications claim that only the more privileged are able to enjoy the benefits . They further point out that the wide spread use of these efficient and effective ways of communication costs a considerable amount of money . Anyone who aims to use these innovations have to not only pay for the appliances such as a mobile phone or a computer but also cover up costs for communication services . Consequently , people who live in poverty are less likely to be benefited from modern communication technologies .
285		Lastly , learning in classroom , student could have healthier life because in school can provide exercise class which train student to move their body . Classroom have specialist trainer to teach students to it right way . If student do it by themselves , they might be hurt themselves . This make students have healthier life which online class cannot provide .
401		The first reason why the father ' s role should be equal to the mother ' s role is the nature of parantage . In my view , the role models within a family play a significant role in the development of the child ' s characteristics . For example , in a traditional Turkish family , while a mother has a sincere and thoughtful approach to the child , a father role must be present as authoritarian and conversative to raise a well-behaved child .
113		Secondly , in the area of education , it is generally agreed that poorer countries often lack of teachers in schools as well as lecturers in higher education institutions . Besides that , education for these countries normally is not free so only certain group of students can afford it . In order to solve the education manpower problem , richer countries can allocate experienced educators to train more teachers and lecturers in poorer countries . Meanwhile , for the issue of education fee , richer countries should offer scholarships and loan to the qualified students .
372		It is undeniable that the country ' s culture is passed down mainly through traditional skills and ways of life . For instance , in Vietnam , many water puppet shows which once demonstrated our seasonal agriculture and communal activities , are today substituted by cinemas and music concerts . This means the young generation can solely get access to their ancestor ' s early life through books and images , which otherwise would be much more easily absorbed .
366		Secondly , it is believed that when youth follows celebrities it affects personality of young people in a bad way . Adolescents follow not only the make up and attire of their favorite stars but also their behavior . For instance recently in a poll conducted by an American magazine it was found that most of the parents and teachers complain that teenagers use derogatory words and abusive language at home and at schools . So , this example makes it obvious that these glamorous celebrities have a poor effect on the conduct of young people .
299		Third , technology has also played a great role in reducing the separation between learning a foreign languge in our own country . A large number of foreign language courses are available online and there are various forums where people can discuss their problems on different foreign languages .
142		In addition , a community with the elderly who have a good health has a major role to play in a sustainable development of a society . In facts , young people will be happy as their parents , grandparents are healthy . It can be said that the improvement of medical care makes a better life for all people .
140		To begin with , judging student ' s skills and abilities should only be based on their academic qualifications and talents rather than gender in particular . Nowadays , both male and female students are equally competitive to each other and deserve to produce impressive results in various field of education . In India , for example , female students are more often likely to grab more number of top scorer positions in every year higher secondary school examinations .
349		Many people believe that students only need to study academic subjects like mathematics , physics because these subject are necessary for students ' future . This is understandable when labor market now has high competition ; students have to meet requirements regard of qualification . In addition , the unemployment rate is always high , so their parents want children to study these subjects which can help students have a job .
277		Moreover , these way students are teached to control their fears and concerns in facing facts . As a matter of fact , when a student understands a fact and its consequences , he or she can encounter it more confidently . In my viewpoint , concerns and anxieties are very destructive in everybody ' s life . It can prevent person to progress and thrive in every position .
7		Another point is that , from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one . It is clear to recognize that the internet service is being provided at a low cost or even free in many countries . The question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet ? The answer , perhaps , is that hardly would rational people do so . For this reason , the number of people reading newspapers may continue falling sharply , possibly leading to the close-downs of many in the coming time .
63		Another reason is that most of young people prefer to have meals at restaurants because they want to invest more time in their work or study to improve themselves . According to a recent survey , 89% of people have come to think that , since they have been put in the situation which is filled with competitions and pressures , they have to use a lot of time to work hard , to update themselves , to acquire all kinds of skills and so on . Thus , they find hard to have time to prepare and cook a meal . Even they have some spare time , they prefer to go out with friends to relax and relieve the pressure from work and study .
22		To begin with , those who advocate the impracticability of university have several reasons . From their point of view , the fact is that there are numerous job opportunities for those who do not have the certification of university graduation , such as mechanics , sales persons , or engineers , and , furthermore , labors for graduates are in short supply . What is worse , the labor market for highly educated students is now too competitive to get a job after finishing their studying . In this regard it is a loss of national productivity that young people spend much time on searching for high salary jobs , even can be a sheer time-consuming .
185		Admittedly contemporarily fossil fuels cause serious environmental conundrums such as acid rain , deduction of ozone layer and global warming ; these problems can be solved by improving efficiency of the mechanism and reducing emissions . For example we can use chemicals to desulfurize the emissions from plants and vehicles to avoid acid rain . These improving methods are often cheaper and simpler compared to the high-tech of renewable energy . With these solutions fossil fuels seem more sustainable .
350		A very important responsibility of media is to publish information about the current affairs as quickly as possible specially when there is a crisis . This helps readers to get updated and act accordingly . For example , when the aircraft MH 370 went missing , everyone wanted to know the details about this tragic incident . The friends and families of passengers and crews were impatient to know the truth . In such situations , newspapers and magazines can not respond as fast as digital media . Instead of waiting for next publication , people can get trustworthy information about the current incidents from internet within an hour or two . This explains why digital media will rule over paper and magazines .
301		Firstly , committing to our goal helps creating personal worth . For example , I realized the true potential of my body and mind as I decided to train myself hard . Even if I were not to win this medal , I acknowledged the great amount of my endeavor as I could keep my tired legs running .
150		Some people might argue that people enjoy watching TV when they know they can learn many things such as learning a language by watching movies . This point has some merits on the surface ; however , movies are not a good idea to learn a language for beginners since characters in movies speak very fast and unclear for language learners . For these learners it is better to start by reading some novels which are more comprehensible and enjoyable .
71		That is not to say , however , that advertisements have no downsides . Of course , the advertising expenses lead to a higher product price and some of them express fake information , creating information asymmetry between consumers and companies . Yet , its merits still outweigh these downsides .
358		On the one hand , the benefit that professionals or students get by connecting from home is enormous . For one , it helps working people to maintain work life balance . The best example is the new mother who can join her work as well as take care of her baby . People also get the desired flexibility in terms of working hours . For students too , studying from home is an attractive option . They save the travelling time to Universities and utilize that time on their studies . In a busy city like Tokyo , students waste a lot of time in travelling . Thus , the advantages that people enjoy by working or studying from home , are obvious .
341		Traditional skills and lifestyles play important role in modern society , in terms of healthcare , environmental protection and cultural inherit . Although technology takes convenience to humankind , it also contributes to unhealthy behaviors of life , like sedentary lifestyle . Instead , traditional ways of life is a great complimentary for modern life and highlight the importance of work life balance . Meanwhile , due to the fact that traditional skills rely little on fossil energy , it is more environmentally-friendly , which should be promoted to reduce the threat of climate change . Furthermore those tradition-related things convey traditional culture and values . These are important foundation of modern civilization . Protection of tradition can provide the possibility to better understand ancient culture and utilize them to tackle modern problems .
115		Admittedly , applying the advanced fertilizers in combine with the automatic reaping resources increase farmers ' economic profit . This is because artificial fertilizers catalyze the capacity of each inch of farmland in order to churn out the crops , and automatic machinery enhances the work efficiency of the harvest . Consequently , the production and labour cost of each kilogram of the agriculture products dramatically decreased .
152		The phenomenal progress in medical science in the last decade was a huge achievement for human being to make the world a healthier and , thus , a happier place to live in . Today , even some disabled people with serious vertebral injuries can start doing physical activities like walking again thanks to the continuingly efforts of biomechanical engineers and neurologists . The advancement in drug delivery systems is another example that could save lives . To be specific , scientists could invent ways to lead drugs directly to the damaged organs of the body , which is a miraculous breakthrough . In general , the increase in the average age of human from 50 to around 75 years through last decades is a strong evidence to show how successful human was in medicine .
49		To begin with , mobile phones and other tools of modern communication facilitate not only contact with friends and relatives in faraway places but also global business . With the click of a button , the vast amount of information can be transmitted from America to China in just a few seconds . Furthermore , it is generally felt that the access to these tools of communication is available in every corner of the world . With a mobile phone or a laptop , a person can talk or send messages online at a bus stop , in a corner shop or anywhere they could imagine . Therefore , it seems that these new forms of communication do bring a great deal of convenience to humankind .
259		First of all , while working in the office , people can interact with their colleges instantly . They can either get help from colleges or discuss about the work together . Think about the big project that a group is working on , if any group member has new idea about the project , he / she can assemble his / her colleges right away and discuss . It ' s more efficient and straight-forward than talking in the phone . For another example , if one Ûª s computer or Internet has any breakdown , he / she can call the MIS staff to fix .
154		Living with a roommate saves me a lot of money . If you have roommates , you can split the rent and utilities among them . This means you can get more for less . For example , last year , I shared a room off-campus with my friend , and we decided to split the rent and heating bills into half : I was able to save about fifty dollars for heating , and two hundred dollars for rent monthly . I was able to save a lot of money by sharing wasted heating and rooms with my friend and splitting the bills .
59		However , the jury giving the verdict are also humans . They have the life of a person at their discretion . They can make mistakes which can sometimes affect an innocent , circumstantially marred criminals . The jury must therefore , take into account the circumstances of committing a crime . For example , if an individual murders someone for self-defense , then such a crime is not heinous . Only deserving criminals , who commit such hateful crimes in their proper senses are subjected to capital punishment .
311		Admittedly , the university student may don ' t reach a high if the university allow student to participate in the class no matter whether they pass the test or not . But the benefit of free to access to the classes eclipse the issue of lower points .
256		Second , it ' s students ' basic responsibility to attend class . Attending class is the most persuasive way for the students to show respect to the professor as well as themselves . Many professors grade their students with class attendances . In other words , class attendances are regarded as critical as examination performances . Those who even achieve high scores on exams could fail if they didn ' t show up in the classes .
173		Finally , a visit to the zoo will help increasing someone ' s respect and appreciation for animals . It is a lot easier to appreciate something after you have seen it , and learned from it . This is especially true for people living in the city , where the only animals they normally interact with are pets like cats and dogs . In the present there is a lack of respect for animals . Being able to see the animals in real life and learning facts about them would help by making people aware of the importance of animals and the respect they deserve .
21		Also , the more an advertisement of a product takes place in mass media , the more popular the product becomes . Advertisement is the most effective way to create a well-known product . Consumers tend to purchase the most known product when it comes to picking one out of two different brands of the same product . When a product is commonly used , it becomes trustworthy for the society , no matter what quality it is . However , it also has to be affordable for the consumer . Considering this fact , advertisements have undeniable affects on the society about the product being advertised . They make the product preferable .
209		What is more , there is a tendency for social vices to rise if university is to be restricted to only the best people . Apart from the disheartened ones , many devoiding of neccessary preparations are likely to be recipes for failure when applying for jobs , mostly the white-collar ones .
364		In addition , in some cases that traditional way can not replace by a new technology . Lot of people like to use traditional things because if their quality and durability . In paticular , vases are made by hand would be used more . Futhermore , there are plenty of works that using traditional way is unique method . For instance , making cone hats from leaves have to use hand . Not only because there is no machine for the work , but also it looks more beautiful when it is made by hand , so resulting in greater value economy .
156		In the first place , children behaviors are the most concerning matter which parents are always trying to do their best . Nowadays children are more involved in TV programs . Imagine an actor who is a child Ûª s favorite is doing violent roles . In this case , the child would imitate the actor ' s behaviors in order to look like to him . Thus , unexpectedly the violent behavior has effected on child Ûª s behaviors .
293		Secondly , work in person can indirectly improve the quality and the efficiency of the project because there will be less conflicts or fight amongst the team members . Writing an email for an informal matter will make that matter looks official , therefore people who receives the email may feel nervous or maybe feel offended by the words in writing . While if the same words are expressed in talking , the counterparty will feel more relaxed since their response will not be recorded and they will not misunderstand the informal discussion to an official claim . Therefore , less misunderstanding leads to less conflicts and fights , and enhance the communication amongst the team members .
165		Secondly , students should not be required to attend classes because they can manage the time spending on classes to do other benefit things if they already understand topic in the class very well . In my experience , many times I did not attend biology class because my university does not require the students to attend classes . Also , I had already studied all biology topics before attending university . As a result , I spent the time of biology class to do my Chemistry research and got A + for both biology and chemistry .
124		In the first place , children are free whatever they want to do , they are not restricted and their limitation are really rare . Because they are in the age of growth and they are allowed whatever they want to do to experience new stuffs . Therefore there is no argument and punishment for them .
304		First , the natural diversity is very important for further generations . If we don ' t change our behavior we will extinct many species living for millions of years on the planet . As we destroy the natural habitat , like forests , jungles and lakes , to make place for our industry and farmland , we rob the ecosystem . To illustrate , every day a massive part of the Rainforest in South America is destroyed to provide wood and farmland . If we don ' t preserve this important part of our ecosystem many endangered animals will loose their natural habitat and go extinct . As a result , further generations will never have the opportunity to see and study these animals .
208		On the other hand , economy is always correlate with politics , students can study specialized knowledge along with some Politian status , which may open their vision toward the nation and don ' t get limited in the textbooks . Besides , there is also an intimate connection between economy and enterprises , students can also gain knowledge more practical and vivid .
244		Moreover , even when people watch television together , there is no chance for them to have conversation in front of television . Watching television program together is not that different from watching same program alone . Thus , it is not good for them to watch television if they want to improve their sense of closeness . To illustrate my point , it is reported that most of people don ' t converse with their family when they are watching television together . It is natural they behave in that way because television shows don ' t require any participation .
236		Finally , all professors in the university are fortune of the society . They are the leaders almost in every fields of science , arts , culture and so on . Without their research , there will be no new technologies come out quickly . Without their research , there will be more artcrafts being ruined by nothing . Without their research , there will be less information of our ancestors to be known on the earth .
173		Animals , the different species , their habitats and behaviors are a subject of study at schools and universities . We can learn a lot from books and lectures , but there is an even better way to learn , that is visuals and personal experience . If you visit the zoo , you get to watch the animals , their customs , what they eat and how they eat it , as well as which characteristics the different species have . In the zoo you can see an animal and their different variations , the male and the female or the baby and the adult . It offers a great opportunity to observe their reactions to different situations , such as weather , specie and genre interaction , defense behavior , or protection of their babies . Moreover , it will also help identify which animals could be dangerous . Visiting the zoo would help the students understand what they learn at school .
117		Some people say that if humans stop using technology and lead a simple way of life then only we can save the environment . They argue that it is the luxuries people use which damages the environment . If people don ' t use air conditioners , automobiles and other such things that technology has brought us , then naturally there would be less pollution and natural resources like fossil fuels would be saved and all this would save the environment .
134		Firstly , some people suggest that qualification should be the foremost measurement to determine the value of a employer . It is of importance that workers should be well educated and trained to perform duties of their job . Specifically , people who work in professional fields such as medicals are required to have a university degree and years of experience . Social skills seem to be less important as they cannot contribute to the success of a surgery .
105		Fortunately , there are other measures to improve the situation . It is advisable for the government to encourage medical production by supplying land for building factories and reducing part of the taxes . Additionally , charitable organizations can buy medicines from developed countries and distribute to the undeveloped world for free .
187		On the other hand , when a new learner wants to learn a new language in the country in which it is spoken , he has the opportunity to communicate with natives . He may find native friends and may participate in groups where members are people from the foreign country . No doubt , it leads to better understanding of language essential skills . He also has access to the most up-to-date language . Thus he can learn most useful idioms , proverbs and so many other things which the former person , person ' A ' , does not have access to .
250		Second , such high salaries can also guarantee and support the athlete ' s great performances . Most of us only see the luxurious side of a rich athlete and ignore how may difficulties they ' ve gone through and how much cost they ' ve thrown into investing themselves . They shall reap within their high salaries . In other words , if they are not paid high enough in order to conform to their performances , there might not be such brilliant performances for us to be amazed .
298		The main reason is that students can learn lots of things from part time job , before starting their real job . Students can learn about time management , money management and convince people by their words . For example , when I was in my high school I worked as a sales-man in a shop for a year . As i had to spend some of my time in my job , therefore , i had to manage my time efficiently . I had to manage my boss as well as had to prepare my homework . This taught me how to manage time efficiently and do any job quickly and effectively . Moreover , I learn money management . When my boss was out of the shop , i had to manage the accounts section of the shop . From this i learned , how to manage money correctly . This experience taught me , doing part time job can help students to learn many things .
371		Secondy , relegious beliefs also contributes to a vegetarian diet . Some religion , such as Buddha , believes that animals were human being in their previous life , so eating their meat mean you eat the flesh of your parent sentient beings . It is often said that this view is rather unscientific . However , I am convinced that it is vital to follow one ' s own religious practices which can bring the enlightenment in mind .
262		Second , this generation is encountering the self-recognition issue which could not be experienced by the previous generation . The past generation was given less freedom and was usually asked to follow the paths their parents had prepared for them . In contrast , young people in this generation are exposed to more creative ideas and rather think individually . They are eager for finding who they are and what they really want . It is fortunate that they can struggle with these sweet worries and these worries are indeed never easy for them . They have to make decisions between so many possibilities and they are responsible for taking the consequences .
314		Secondly , other than the importance of accuracy , the world also seeks efficiency , which concludes both minimum time completion and also criterion of quality . Even when we managed to keep up with the pace by neglecting the details of a project and only aim for a general frame of the project , this will not be something satisfy for the company and clients . We soon will be out of the picture even when we kept up with the pace since when the problem reveals itself we ' ll have to go back and fix the mistakes we have made . This might be even more costly and time consuming than a neat completion of work at the start .
23		First of all , almost everything that changed our lifestyle a lot will also cause some social problems . Mobile phones are not out of expectation . Speaking loudly on the phone in public areas , such as schools , libraries and hospitals appears to be very impolite and offensive . What is worse , some students utilize their cell phones as an effective cheating tools in examinations in which they can send and receive answers by texting each other . Nevertheless , it is not impossible to solve these problems , as long as some regulations and rules can be effectively implemented .
350		People often want to access news from past for various reasons like to prepare for research , satisfy interest , etc . For example , one research fellow may want to know how a small village named Oramaki in Japan was suffering after Second World War . It is very difficult to get this sort of information from past in newspapers and magazines as one has to know before where to look at . But internet provides efficient search facility where one can search the topic and get the details . This feature of digital media is not supported by newspapers and magazines .
363		On other side of the coin , many people believe that usage of machines makes work easier and less time is consumed for doing similar amount of work . Take the example of use of food processors in kitchens . The work of chopping , blending , grating , kneading has become so easy that people can not imagine their lives without this simple machine at their homes . Thus it is very obvious that using machines makes daily tasks less time consuming and less cumbersome .
332		Living on your own is a huge financial commitment . At younger age people are less likely to get a high paying job , so It can be a difficult task to pay for rent , food , utilities and other expenses to sustain yourself . So , I believe that living with parents is a wise choice for adults until they get a head start to their professional career with a reasonable income .
170		On the other hand , the development of technology is likely to bring some negative effects on the environment and society . People utilize architecture technology to construct buildings to expand urban areas , and fuel companies apply drilling technology to extract a great amount of fossil oil in natural regions . This would pose a large threat to the ecology and environment . Vehicle technology enables many people to drive private cars , and emission of exhaust gas could lead to air pollution in large cities .
97		First and foremost , sports events are good chances for excellent athletes to meet and learn valuable experiences from one another so that they can improve their results , break records and bring victories to their own countries . Because a large number of people will gather in the host city for sport events , there are many good opportunities for discovering different cultures . Consequently , sport events with the spirit of healthiness , honesty and fairness can help strengthen understanding , friendship and solidarity among nations . After sharing competitive but interesting moments in each competition , the competitors often shake hands friendly and congratulate the winners , which can lead to an improvement in the relationships among nations .
238		However , other people visit museums are the most boring expirience of a trip . My cousin Pedro literaly hates to visit museums but he really enjoyed his visit to the famous London - Madame Tussaud museum , it was kind of art entertainment but also that visit helped him to understand the artist works , and in addition he started to respect and admire other types of arts that offers in other museums .
231		Some people thinks that if a child grows up in a big city they will be all day at home at the computer or at the video-game , but this is not true if you live in a neighborhood with other people about your age as I did . My friends and I used to play soccer , bike , climb trees and do a lot of other stuff every day . We did play video-games , but that wasn ' t our main activity . In a big city there are more kinds of people and more things to do .
16		Though animal experiments have negative impact on the natural balance , it is necessary to make sure that people can live a long life . To begin with , it is indisputable that every new kind food or pill may be noxious , and scientists must do something to insure that the new invention benefits people instead of making people ill or even dying . The new foods or medicines are invented to promote the quantity of human ' s life . Thus even if they are volunteers ; they cannot take the place of animals to test the new foods or medicines . Furthermore , it also have potentially harm for human ' s health without any testing .
98		First of all , children can learn about the hardship of earning money . When they take some kind of paid work such as looking after babies , doing housework and keeping shops , they will have some life experience and skills which make them mature and can deal with many different situations in real life . Therefore , they are likely to understand their parents ' hardship , to respect values of money and to form a good habit of saving .
74		On the other hand , there are some drawbacks from saving minority languages . Although governments invest money on doing that , it is hard to gain the good results . As evidence of this , there are a few people , particularly the youngsters , do not pay attention on collecting and studying those . These kinds of languages are usually difficult and unpopular . In addition , the preservations need a long time to gather , restore all information as well as train in the educational centre . If they do not try their best , their protection can be halted and waste of money .
342		On the other hand , cooperation is also an essential quality for children , no matter in school activities or in communities . Having a good cooperating spirit helps kids to communicate and get along with others , which gives them more possibility to solve problems or to achieve a goal easily by working as a team . After all , in society , there is hardly anyone who could has big achievement by oneself . For example , famous singers or movie stars , despite of their talent to make them successful , there are always a team to manage works or deal with things .
167		Second , in a globalized world that we live computers made communications faster , visual and cheaper . With the use of email our messages can be delivered to any person in any part of the world in few minutes . In addition , it is convenient because you do not need to mile to the post office , but just click the mouse of your computer from the convenience of your arm chair in order to reach your friends , family members in any part of the world . Internet facilities such as msn , skype made visual communication possible . For example , via skype people not just communicate with their family members and friends , but also make interviews for employment , enrolment into universities . In result , communication has become cheaper , faster and visual .
327		In addition , Learning a foreign language helps students tremendously to comprehend what happens in the around World . They would be able to understand other cultures and costumes . Moreover , It can give them a sense of power to communicate better with peers in other parts of the World . Having knowledge about other countries and their languages lead to extend the child ' s vision . Therefore , they would be able to develop their personalities and sense of reliance .
318		Buying a car spends hundreds of thousand ; paying for all sorts of fee takes another several-these are all ready too much for most of the families to bear . Charging drivers one more fee makes no sense and is ridiculous . Majority of the families buy cars simply for a safer and easier conveyance , and charging them too much fee adds a lot to their burden and is actually jeopardizing their rights .
245		Secondly , you can write an e-mail at any time of the day . As for me , I work and study at the university and I don ' t have spare time during the day . I get home at about midnight and I still need to answer some questions and to solve some routine problems . I might not have time to call a person or to meet with him or her in an appropriate time so for me it is better to leave a voice mail .
67		One of the major concerns against freeing artists ' creation derives from the fear of social misleading which would destabilize the society ; however , I believe the audiences have their own judgement and are not likely to be misled or influenced by some art work . It is needless to say that art inevitably involves imagination , exaggeration and sometimes is purely fabricated ; regardless of whether the work of art is based on truth or not , it is the public ' s authority to determine how to interpret its meaning . If the art displays unreality , the public audiences certainly have the acumen to recognise its untruthfulness and only appreciate its art value ; if the art reflects the reality , then what would be the intention to ban it if it was not for covering the dirty truth ? Would it be autocratic if the government clamp down the artists who are telling the truth ? In a word , the notion of being afraid of social misleading is unjustified .
360		It is true that some celebrities tend to show off their images in front of the public . For example , some movie starts enjoy wearing luxury brand clothes and showing their expensive life style in front of the media , thereby gaining the public attention . If they continue to behave in such a way , it will create a misleading image to young people who may think that extraordinary life can be achieved without hard work . Consequently , the attention of young people may become focused on chasing the dream of celebrity status . This is detrimental to study and work ethics and habits .
